Transcription Start	Translation Start	Translation Stop	Transcription Stop	Strand	Name	Synonym	Product	Raw Counts ev6	Normalized Counts ev6	RPKM ev6	Expression ev6
12	190	255	287	+	thrL	b0001	thr operon leader peptide	375	82906	964	1256
290	337	2799	2799	+	thrA	b0002	Bifunctional aspartokinase/homoserine dehydrogenase 1	715	158289	49	64
2800	2801	3733		+	thrB	b0003	homoserine kinase	527	116547	95	124
	3734	5020	5183	+	thrC	b0004	L-threonine synthase	386	85503	51	66
5204	5234	5530	5530	+	yaaX	b0005	DUF2502 family putative periplasmic protein	76	16875	43	56
6472	6459	5683	5672	-	yaaA	b0006	peroxide resistance protein, lowers intracellular iron	249	55107	54	70
8123	7959	6529	6479	-	yaaJ	b0007	putative transporter	208	46120	24	32
8190	8238	9191	9191	+	talB	b0008	transaldolase B	2611	577443	464	605
9306	9306	9893	9916	+	mog	b0009	molybdochelatase incorporating molybdenum into molybdopterin	160	35486	46	60
10494	10494	9928	9928	-	satP	b0010	succinate-acetate transporter	98	21850	29	38
11356	11356	10643	10594	-	yaaW	b0011	UPF0174 family protein	118	26103	28	36
11331			11342	+	-	predicted RNA	antisense: yaaW	19	4298	275	358
11786	11786	11382	11357	-	yaaI	b0013	UPF0412 family protein	123	27202	51	67
12015	12163	14079	14082	+	dnaK	b0014	chaperone Hsp70, with co-chaperone DnaJ	5961	1317901	528	687
14083	14168	15298	15379	+	dnaJ	b0015	chaperone Hsp40, DnaK co-chaperone	550	121742	82	107
15380	15445	16557	16606	+	insL1	b0016	IS186 transposase	245	54285	37	48
	16960	16751	16745	-	mokC	b0018	regulatory protein for HokC, overlaps CDS of hokC	123	27266	99	129
16956	16903	16751		-	hokC	b4412	toxic membrane protein, small	91	20133	101	131
16952			17006	+	sokC	b4413	-	33	7461	104	135
17468	17489	18655	18714	+	nhaA	b0019	sodium-proton antiporter	924	204418	134	175
18715	18715	19620	19620	+	nhaR	b0020	transcriptional activator of nhaA	329	72948	61	80
	20314	19811	19719	-	insB1	b0021	IS1 transposase B	65	14579	22	28
	20508	20233		-	insA	b0022	IS1 repressor TnpA	21	4851	13	17
21212	21078	20815	20788	-	rpsT	b0023	30S ribosomal subunit protein S20	1499	331571	964	1255
21072	21181	21399	21402	+	yaaY	b0024	uncharacterized protein	40	8932	31	40
21403	21407	22348	22361	+	ribF	b0025	bifunctional riboflavin kinase/FAD synthetase	790	174695	142	185
22362	22391	25207		+	ileS	b0026	isoleucyl-tRNA synthetase	1114	246448	67	87
	25207	25701	25724	+	lspA	b0027	prolipoprotein signal peptidase (signal peptidase II)	221	48948	75	98
25725	25826	26275	26275	+	fkpB	b0028	FKBP-type peptidyl-prolyl cis-trans isomerase (rotamase)	101	22473	38	49
26277	26277	27227	27227	+	ispH	b0029	4-hydroxy-3-methylbut-2-enyl diphosphate reductase, 4Fe-4S protein	195	43166	34	45
	27293	28207		+	rihC	b0030	ribonucleoside hydrolase 3	39	8677	7	9
28304	28374	29195	29213	+	dapB	b0031	dihydrodipicolinate reductase	627	138628	129	168
29432	29651	30799	30816	+	carA	b0032	carbamoyl phosphate synthetase small subunit, glutamine amidotransferase	1207	266883	178	232
30817	30817	34038	34097	+	carB	b0033	carbamoyl-phosphate synthase large subunit	2009	444244	105	137
34099	34300	34695	34695	+	caiF	b0034	cai operon transcriptional activator	488	108087	209	272
35371	35371	34781	34739	-	caiE	b0035	stimulator of CaiD and CaiB enzyme activities	78	17302	22	29
	36162	35377		-	caiD	b0036	carnitinyl-CoA dehydratase	40	8855	8	11
37851	37824	36271	36163	-	caiC	b0037	putative crotonobetaine/carnitine-CoA ligase	305	67577	33	43
39115	39115	37898	37866	-	caiB	b0038	crotonobetainyl CoA:carnitine CoA transferase	205	45457	28	37
	40386	39244		-	caiA	b0039	crotonobetaine reductase subunit II, FAD-binding	92	20388	13	17
42614	41931	40417	40387	-	caiT	b0040	putative transporter	229	50833	25	33
	42403	43173		+	fixA	b0041	anaerobic carnitine reduction putative electron transfer flavoprotein subunit	72	15930	15	20
	43188	44129		+	fixB	b0042	putative electron transfer flavoprotein, NAD/FAD-binding domain and ETFP adenine nucleotide-binding domain-like protein	81	18085	14	19
	44180	45466		+	fixC	b0043	putative oxidoreductase	80	17873	10	13
	45463	45750		+	fixX	b0044	putative 4Fe-4S ferredoxin-type protein	14	3193	8	11
45784	45807	47138	47150	+	yaaU	b0045	putative transporter	222	49298	28	37
	47246	47776		+	kefF	b0046	potassium-efflux system ancillary protein for KefC, glutathione-regulated; quinone oxidoreductase, FMN-dependent	32	7169	10	13
	47769	49631	49631	+	kefC	b0047	potassium:proton antiporter	293	64933	26	34
49753	49823	50302	50302	+	folA	b0048	dihydrofolate reductase	219	48420	77	100
51228	51222	50380	50330	-	apaH	b0049	diadenosine tetraphosphatase	155	34366	31	40
51608	51606	51229	51229	-	apaG	b0050	protein associated with Co2+ and Mg2+ efflux	157	34918	70	92
	52430	51609	51609	-	rsmA	b0051	16S rRNA m(6)A1518, m(6)A1519 dimethyltransferase, SAM-dependent	199	44087	41	53
	53416	52427		-	pdxA	b0052	4-hydroxy-L-threonine phosphate dehydrogenase, NAD-dependent	316	69905	54	70
54702	54702	53416		-	surA	b0053	peptidyl-prolyl cis-trans isomerase (PPIase)	9090	2009755	1199	1561
57109	57109	54755	54703	-	lptD	b0054	LPS assembly OM complex LptDE, beta-barrel component	1826	403749	131	171
57343	57364	58179	58875	+	djlA	b0055	membrane-anchored DnaK co-chaperone, DNA-binding protein	162	35852	33	43
59103			59225	+	-	predicted RNA	-	433	95839	598	779
59438			59495	+	-	predicted RNA	-	126	28071	371	483
60357	60346	59687	59687	-	rluA	b0058	dual specificity 23S rRNA pseudouridine(746), tRNA pseudouridine(32) synthase, SAM-dependent	738	163226	189	247
63428	63264	60358	60358	-	rapA	b0059	RNA polymerase remodeling/recycling factor ATPase; RNA polymerase-associated, ATP-dependent RNA translocase	936	207129	54	71
65780	65780	63429	63429	-	polB	b0060	DNA polymerase II	672	148757	48	63
	66550	65855		-	araD	b0061	L-ribulose-5-phosphate 4-epimerase	32	7096	7	10
	68337	66835		-	araA	b0062	L-arabinose isomerase	111	24669	12	16
	70048	68348		-	araB	b0063	L-ribulokinase	78	17351	7	10
	70387	71265		+	araC	b0064	ara regulon transcriptional activator; autorepressor	86	19132	16	21
71339	71351	72115	72115	+	yabI	b0065	DedA family inner membrane protein	157	34771	34	45
	72927	72229	72229	-	thiQ	b0066	thiamine, thiamine pyrophosphate ABC transporter ATPase; ThiBPQ thiamine, thiamine pyrophosphate importer	83	18408	20	26
	74521	72911		-	thiP	b0067	thiamine, thiamine pyrophosphate ABC transporter permease; ThiBPQ thiamine, thiamine pyrophosphate importer	131	29103	13	18
75480	75480	74497		-	thiB	b0068	thiamine-, thiamine pyrophosphate-, thiamine monophosphate-binding ABC transporter periplasmic protein; ThiBPQ thiamine, thiamine pyrophosphate importer	301	66742	52	67
	77299	75644		-	sgrR	b0069	transcriptional DNA-binding transcriptional activator of sgrS sRNA	173	38262	17	23
77367			77593	+	sgrS	b4577	-	47	10602	35	46
	77388	77519	77519	+	sgrT	b4662	inhibitor of glucose uptake	30	6786	39	51
77603	77621	78799	78799	+	setA	b0070	broad specificity sugar efflux system	514	113777	74	96
79453	79453	78848	78848	-	leuD	b0071	3-isopropylmalate dehydratase small subunit	174	38548	48	63
80866	80864	79464	79464	-	leuC	b0072	3-isopropylmalate dehydratase large subunit	218	48285	26	34
	81958	80867	80867	-	leuB	b0073	3-isopropylmalate dehydrogenase, NAD(+)-dependent	166	36856	25	33
83570	83529	81958		-	leuA	b0074	2-isopropylmalate synthase	428	94709	46	60
83846	83708	83622	83605	-	leuL	b0075	leu operon leader peptide	71	15792	139	181
84094	84368	85312	85357	+	leuO	b0076	global transcription factor	138	30681	24	32
84384			84324	-	-	predicted RNA	antisense: leuO	158	35096	441	575
85625			85519	-	-	predicted RNA	-	204	45171	324	422
85612	85630	87354	87356	+	ilvI	b0077	acetolactate synthase 3 large subunit	813	179792	80	104
87357	87357	87848	87855	+	ilvH	b0078	acetolactate synthase 3, small subunit, valine-sensitive	653	144548	225	293
87858	88028	89032	89081	+	cra	b0080	transcriptional repressor-activator for carbon metabolism	201	44621	34	44
89493	89634	90092	90092	+	mraZ	b0081	RsmH methytransferase inhibitor	716	158461	265	345
90093	90094	91035		+	rsmH	b0082	16S rRNA m(4)C1402 methyltransferase, SAM-dependent	465	102972	83	109
	91032	91397	91412	+	ftsL	b0083	membrane bound cell division protein at septum containing leucine zipper motif	677	149703	314	409
91413	91413	93179		+	ftsI	b0084	transpeptidase involved in septal peptidoglycan synthesis (penicillin-binding protein 3)	14809	3274081	1423	1852
	93166	94653		+	murE	b0085	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate:meso-diaminopimelate ligase	343	76015	39	51
	94650	96008		+	murF	b0086	UDP-N-acetylmuramoyl-tripeptide:D-alanyl-D-alanine ligase	270	59904	33	44
	96002	97084	97086	+	mraY	b0087	phospho-N-acetylmuramoyl-pentapeptide transferase	331	73285	51	67
97087	97087	98403		+	murD	b0088	UDP-N-acetylmuramoyl-L-alanine:D-glutamate ligase	282	62348	36	47
	98403	99647		+	ftsW	b0089	lipid II flippase; integral membrane protein involved in stabilizing FstZ ring during cell division	521	115352	71	92
	99644	100711	100730	+	murG	b0090	N-acetylglucosaminyl transferase	381	84413	60	79
100731	100765	102240		+	murC	b0091	UDP-N-acetylmuramate:L-alanine ligase	328	72585	37	49
	102233	103153	103154	+	ddlB	b0092	D-alanine:D-alanine ligase	827	183053	152	198
103155	103155	103985		+	ftsQ	b0093	divisome assembly protein, membrane anchored protein involved in growth of wall at septum	786	173860	160	209
	103982	105244	105304	+	ftsA	b0094	ATP-binding cell division protein involved in recruitment of FtsK to Z ring	1983	438431	266	347
105305	105305	106456	106456	+	ftsZ	b0095	GTP-binding tubulin-like cell division protein	706	156256	104	135
106457	106557	107474	107692	+	lpxC	b0096	UDP-3-O-acyl N-acetylglucosamine deacetylase	660	146089	122	159
107702	107705	108217	108217	+	secM	b0097	regulator of secA translation	135	30061	45	58
108218	108279	110984	111025	+	secA	b0098	preprotein translocase subunit, ATPase	2170	479752	136	177
111044	111044	111433	111433	+	mutT	b0099	nucleoside triphosphate pyrophosphohydrolase, marked preference for dGTP	187	41351	81	106
111855	111846	111649	111638	-	yacG	b0101	DNA gyrase inhibitor	172	38222	148	193
	112599	111856	111856	-	zapD	b0102	FtsZ stabilizer	132	29219	30	39
113219	113219	112599		-	coaE	b0103	dephospho-CoA kinase	130	28946	35	46
113383	113444	114487	114487	+	guaC	b0104	GMP reductase	395	87447	64	83
	115724	114522	114514	-	hofC	b0106	assembly protein in type IV pilin biogenesis, transmembrane protein	222	49141	31	40
117103	117099	115714		-	hofB	b0107	T2SE secretion family protein; P-loop ATPase superfamily protein	192	42641	23	30
	117549	117109		-	ppdD	b0108	putative prepilin peptidase-dependent pilin	26	5809	10	13
118645	118645	117752	117752	-	nadC	b0109	quinolinate phosphoribosyltransferase	218	48217	41	53
118731	118733	119284		+	ampD	b0110	1,6-anhydro-N-acetylmuramyl-L-alanine amidase, Zn-dependent; murein amidase	283	62713	87	113
	119281	120135	120366	+	ampE	b0111	ampicillin resistance inner membrane protein; putative signaling protein in beta-lactamase regulation	146	32388	29	37
122072	121551	120178	120122	-	aroP	b0112	aromatic amino acid transporter	180	39877	22	29
122033	122092	122856	122876	+	pdhR	b0113	pyruvate dehydrogenase complex repressor; autorepressor	197	43614	43	57
122877	123017	125680	125680	+	aceE	b0114	pyruvate dehydrogenase, decarboxylase component E1, thiamine triphosphate-binding	7636	1688199	486	633
125681	125695	127587	127899	+	aceF	b0115	pyruvate dehydrogenase, dihydrolipoyltransacetylase component E2	6421	1419716	576	749
127900	127912	129336	129336	+	lpd	b0116	lipoamide dehydrogenase, E3 component is part of three enzyme complexes	4450	983854	530	690
	131260	129407		-	yacH	b0117	uncharacterized protein	172	38038	15	20
131520	131615	134212	134219	+	acnB	b0118	bifunctional aconitate hydratase 2/2-methylisocitrate dehydratase	1630	360435	106	138
134302	134388	134750	134750	+	yacL	b0119	UPF0231 family protein	529	117066	247	322
135597	135582	134788	134788	-	speD	b0120	S-adenosylmethionine decarboxylase	1045	231114	223	290
136496	136464	135598	135598	-	speE	b0121	spermidine synthase (putrescine aminopropyltransferase)	609	134823	119	155
136937	136917	136570	136570	-	yacC	b0122	PulS_OutS family protein	218	48306	106	138
137083	137083	138633	138633	+	cueO	b0123	multicopper oxidase (laccase)	391	86455	42	55
141225	141225	138835	138835	-	gcd	b0124	glucose dehydrogenase	590	130613	41	54
